column_0,column_1,column_2,column_3,column_4
134348,2,2024-09-11T09:00:22,away,-200
134348,2,2024-09-11T09:00:22,home,160
134358,2,2024-09-11T10:35:30,away,165
134358,2,2024-09-11T10:35:30,home,-200
134360,1,2024-06-27T04:46:26,away,-200
134360,1,2024-06-27T04:46:26,home,170
134371,2,2024-09-17T23:32:08,away,-200
134371,2,2024-09-17T23:32:08,home,165
134375,1,2024-09-23T13:19:56,away,170
134375,1,2024-09-23T13:19:56,home,-200
134377,2,2024-06-02T20:47:59,away,-200
134377,2,2024-06-02T20:47:59,home,165
134378,2,2024-09-25T06:06:44,away,155
134378,2,2024-09-25T06:06:44,home,-200
134393,1,2024-10-07T02:05:55,away,205
134393,1,2024-10-07T02:05:55,home,-245
134393,1,2024-10-07T02:05:55,away,170
134393,1,2024-10-07T02:05:55,home,-200
134423,2,2024-10-16T00:55:05,away,-200
134423,2,2024-10-16T00:55:05,home,160
134433,1,2024-10-21T09:28:27,away,200
134433,1,2024-10-21T09:28:27,home,-240
134433,1,2024-10-21T09:28:27,away,170
134433,1,2024-10-21T09:28:27,home,-200
134434,2,2024-10-16T02:25:08,away,160
134434,2,2024-10-16T02:25:08,home,-200
134453,1,2024-11-05T00:23:59,away,-200
134453,1,2024-11-05T00:23:59,home,170
134453,1,2024-11-05T00:23:59,away,-170
134453,1,2024-11-05T00:23:59,home,145
134453,1,2024-11-05T00:23:59,away,-160
134453,1,2024-11-05T00:23:59,home,120
134454,1,2024-11-05T00:23:59,away,-200
134454,1,2024-11-05T00:23:59,home,170
134454,1,2024-11-05T00:23:59,away,-175
134454,1,2024-11-05T00:23:59,home,150
134454,1,2024-11-05T00:23:59,away,-160
134454,1,2024-11-05T00:23:59,home,120
134462,1,2024-11-04T03:43:19,away,-200
134462,1,2024-11-04T03:43:19,home,170
134462,1,2024-11-04T03:43:19,away,-170
134462,1,2024-11-04T03:43:19,home,145
134462,1,2024-11-04T03:43:19,away,-160
134462,1,2024-11-04T03:43:19,home,120
134464,2,2024-11-06T00:10:05,away,160
134464,2,2024-11-06T00:10:05,home,-200
134470,2,2024-11-06T00:40:07,away,-200
134470,2,2024-11-06T00:40:07,home,160
134476,2,2024-11-06T00:50:07,away,165
134476,2,2024-11-06T00:50:07,home,-200
134478,1,2024-11-18T05:07:49,away,-200
134478,1,2024-11-18T05:07:49,home,170
134478,2,2024-11-12T21:41:52,away,-200
134478,2,2024-11-12T21:41:52,home,165
134493,2,2024-11-19T21:25:48,away,155
134493,2,2024-11-19T21:25:48,home,-200
134498,2,2024-11-19T22:00:38,away,160
134498,2,2024-11-19T22:00:38,home,-200
134510,2,2024-11-26T20:55:47,away,-200
134510,2,2024-11-26T20:55:47,home,165
134516,2,2024-11-26T22:10:48,away,-200
134516,2,2024-11-26T22:10:48,home,155
134518,1,2024-12-02T03:39:59,away,170
134518,1,2024-12-02T03:39:59,home,-200
134518,1,2024-12-02T03:39:59,away,155
134518,1,2024-12-02T03:39:59,home,-180
134522,1,2024-12-10T05:45:06,away,-200
134522,1,2024-12-10T05:45:06,home,170
134522,1,2024-12-10T05:45:06,away,-220
