mlb_game_pk,date_played,away_bats_pi,away_pitch_pi,home_bats_pi,home_pitch_pi,away_bats_pi,away_pitch_pi,home_bats_pi,home_pitch_pi
744888,9/9/2024,0.74000000000000000,0.7125975176813368,0.7130000000000001,0.7171703796829678,0.7400,0.7126,0.7130,0.7172
744889,8/23/2024,0.6819999999999999,0.8772545254804118,0.70600000000000000,0.7297345209790598,0.6820,0.8773,0.7060,0.7297
744890,8/24/2024,0.6819999999999999,0.7219199639985072,0.7070000000000001,0.7137506776735321,0.6820,0.7219,0.7070,0.7138
744891,9/3/2024,0.74800000000000000,0.7247179428470576,0.71000000000000000,0.7087663520704832,0.7480,0.7247,0.7100,0.7088
744892,8/25/2024,0.67900000000000000,0.7096324328064215,0.70800000000000000,0.7173442021399083,0.6790,0.7096,0.7080,0.7173
744893,8/21/2024,0.70400000000000000,0.6559927983378613,0.7030000000000001,0.7027456063321897,0.7040,0.6560,0.7030,0.7027
744894,8/22/2024,0.6839999999999999,0.8945988380724648,0.7050000000000001,0.6967867421974436,0.6840,0.8946,0.7050,0.6968
744895,8/11/2024,0.6970000000000001,0.7370111508961394,0.6970000000000001,0.7229211151582491,0.6970,0.7370,0.6970,0.7229
744896,8/20/2024,0.70400000000000000,0.7420288441613225,0.6970000000000001,0.7167584302514394,0.7040,0.7420,0.6970,0.7168
744897,8/10/2024,0.69800000000000000,0.7134602335309167,0.70000000000000000,0.7008232974894973,0.6980,0.7135,0.7000,0.7008
744898,8/19/2024,0.70400000000000000,0.7023551298410332,0.6970000000000001,0.7194061826438438,0.7040,0.7024,0.6970,0.7194
744899,8/8/2024,0.77400000000000000,0.6948954880323343,0.69800000000000000,0.74269801126179900,0.7740,0.6949,0.6980,0.7427
744900,8/9/2024,0.6990000000000001,0.7483331034798106,0.6990000000000001,0.7354641510565738,0.6990,0.7483,0.6990,0.7355
744901,8/6/2024,0.77700000000000000,0.7147572161204612,0.6970000000000001,0.7202452865250986,0.7770,0.7148,0.6970,0.7202
744902,7/28/2024,0.69200000000000000,0.6820719458867157,0.69200000000000000,0.7224703506388437,0.6920,0.6821,0.6920,0.7225
744903,8/7/2024,0.77400000000000000,0.75728860285916500,0.69800000000000000,0.8270652195942636,0.7740,0.7573,0.6980,0.8271
744904,7/23/2024,0.68500000000000000,0.8065525815367165,0.6910000000000001,0.7229890807691777,0.6850,0.8066,0.6910,0.7230
744905,7/24/2024,0.68500000000000000,0.7180120431648462,0.69000000000000000,0.7117455667854318,0.6850,0.7180,0.6900,0.7117
744906,7/26/2024,0.6950000000000001,0.6918717626687579,0.68700000000000000,0.7206763976763977,0.6950,0.6919,0.6870,0.7207
744907,7/25/2024,0.68300000000000000,0.65520909743317300,0.69000000000000000,0.7038201881577694,0.6830,0.6552,0.6900,0.7038
744908,7/27/2024,0.69400000000000000,0.69316967398982900,0.6890000000000001,0.7293415872303639,0.6940,0.6932,0.6890,0.7293
744909,7/21/2024,0.6890000000000001,0.7815370482740112,0.6890000000000001,0.7333783781397607,0.6890,0.7815,0.6890,0.7334
744910,7/20/2024,0.6890000000000001,0.6635419596316143,0.69000000000000000,0.7261019191449789,0.6890,0.6635,0.6900,0.7261
744911,7/19/2024,0.6890000000000001,0.6665062275847924,0.6910000000000001,0.7009549194564588,0.6890,0.6665,0.6910,0.7010
744912,7/4/2024,0.74900000000000000,0.7022039504041118,0.68700000000000000,0.7018269838742164,0.7490,0.7022,0.6870,0.7018
744913,7/2/2024,0.74800000000000000,0.7521337982339349,0.68800000000000000,0.7144759546817899,0.7480,0.7521,0.6880,0.7145
744914,7/1/2024,0.74900000000000000,0.7177550399430561,0.69000000000000000,0.7370917782502207,0.7490,0.7178,0.6900,0.7371
744915,7/3/2024,0.74700000000000000,0.63801536897388400,0.69000000000000000,0.7257666622720775,0.7470,0.6380,0.6900,0.7258
744916,6/30/2024,0.76300000000000000,0.9234688436751017,0.69400000000000000,0.7394970935546374,0.7630,0.9235,0.6940,0.7395
744917,6/18/2024,0.74300000000000000,0.5711674997062386,0.67900000000000000,0.6955254152191694,0.7430,0.5712,0.6790,0.6955
744918,6/17/2024,0.73800000000000000,0.6706496360743652,0.67700000000000000,0.6820029817091133,0.7380,0.6706,0.6770,0.6820
744919,6/27/2024,0.76300000000000000,0.7078042116121692,0.72600000000000000,0.7287569777458084,0.7630,0.7078,0.7260,0.7288
744920,6/19/2024,0.74400000000000000,0.7141371477238616,0.67700000000000000,0.7236468214854639,0.7440,0.7141,0.6770,0.7236
744921,6/29/2024,0.76500000000000000,0.6650478333733645,0.68800000000000000,0.7042466632927546,0.7650,0.6650,0.6880,0.7042
744922,6/28/2024,0.75900000000000000,0.6926188960290803,0.68700000000000000,0.7324163969432338,0.7590,0.6926,0.6870,0.7324
744923,6/6/2024,0.75600000000000000,0.7044829450141478,0.6819999999999999,0.6969273503708426,0.7560,0.7045,0.6820,0.6969
744924,6/14/2024,0.7210000000000001,0.82188778246480900,0.6759999999999999,0.7049212446329942,0.7210,0.8219,0.6760,0.7049
744925,6/15/2024,0.7210000000000001,0.8000221012066921,0.67300000000000000,0.52363283090783100,0.7210,0.8000,0.6730,0.5236
744926,6/16/2024,0.71800000000000000,0.7214577891519967,0.67300000000000000,0.6917244765068504,0.7180,0.7215,0.6730,0.6917
744927,6/5/2024,0.75800000000000000,0.5724329864164956,0.6819999999999999,0.6857820925664584,0.7580,0.5724,0.6820,0.6858
744928,5/31/2024,0.6639999999999999,0.6660643717403674,0.69400000000000000,0.6986346847865899,0.6640,0.6661,0.6940,0.6986
744929,6/2/2024,0.6599999999999999,0.7689454269654834,0.6859999999999999,0.7087502028843464,0.6600,0.7689,0.6860,0.7088
744930,6/3/2024,0.75100000000000000,0.6771695733355627,0.68800000000000000,0.7271566634292723,0.7510,0.6772,0.6880,0.7272
744931,6/4/2024,0.75400000000000000,0.5948242710795902,0.6859999999999999,0.5211998564397047,0.7540,0.5948,0.6860,0.5212
744932,6/1/2024,0.6559999999999999,0.7158187271423087,0.69000000000000000,0.6757105701369862,0.6560,0.7158,0.6900,0.6757
744933,5/22/2024,0.6120000000000001,0.7340050076652679,0.6679999999999999,0.7423791597196301,0.6120,0.7340,0.6680,0.7424
744934,5/17/2024,0.6819999999999999,0.7850691420966973,0.6699999999999999,0.7402052115328839,0.6820,0.7851,0.6700,0.7402
744935,5/20/2024,0.60900000000000000,0.6682217336804551,0.66700000000000000,0.6852226029768085,0.6090,0.6682,0.6670,0.6852
744936,5/21/2024,0.6120000000000001,0.6848502336515582,0.67700000000000000,0.6675137988298715,0.6120,0.6849,0.6770,0.6675
744937,5/19/2024,0.68500000000000000,0.7287661347883769,0.6639999999999999,0.7382086858432036,0.6850,0.7288,0.6640,0.7382
744938,5/18/2024,0.6819999999999999,0.7100779474225145,0.66300000000000000,0.75689506172839500,0.6820,0.7101,0.6630,0.7569
744939,5/1/2024,0.69400000000000000,0.64145748360782700,0.6779999999999999,0.7882959657673736,0.6940,0.6415,0.6780,0.7883
744940,5/10/2024,0.72900000000000000,0.6694325102880658,0.6699999999999999,0.6597393948781496,0.7290,0.6694,0.6700,0.6597
744941,5/12/2024,0.73200000000000000,0.6875270607605694,0.68300000000000000,0.94194061302682000,0.7320,0.6875,0.6830,0.9419
744942,4/30/2024,0.69200000000000000,0.6665825843054758,0.68800000000000000,0.63986714975845400,0.6920,0.6666,0.6880,0.6399
744943,5/11/2024,0.72500000000000000,0.5937488666726711,0.6679999999999999,0.7111643574567303,0.7250,0.5937,0.6680,0.7112
744944,4/16/2024,0.74100000000000000,0.80000000000000000,0.6799999999999999,0.5840000000000001,0.7410,0.8000,0.6800,0.5840
744945,4/29/2024,0.68500000000000000,0.6608789878987898,0.67300000000000000,0.75516335636154300,0.6850,0.6609,0.6730,0.7552
744946,4/27/2024,0.8029999999999999,0.6060199430199431,0.68100000000000000,0.6405897047927658,0.8030,0.6060,0.6810,0.6406
744947,4/28/2024,0.80000000000000000,0.5341139442231075,0.67100000000000000,0.7719876134412558,0.8000,0.5341,0.6710,0.7720
744948,4/17/2024,0.73000000000000000,0.5700000000000001,0.6819999999999999,1.04000000000000000,0.7300,0.5700,0.6820,1.0400
744949,4/26/2024,0.78400000000000000,0.69226177024482100,0.6859999999999999,0.7223425796062541,0.7840,0.6923,0.6860,0.7223
744950,4/10/2024,0.60700000000000000,0.65000000000000000,0.66700000000000000,0.70800000000000000,0.6070,0.6500,0.6670,0.7080
744951,4/15/2024,0.76300000000000000,0.42200000000000000,0.68300000000000000,0.8620000000000001,0.7630,0.4220,0.6830,0.8620
744952,4/14/2024,0.76100000000000000,1.1840000000000002,0.67700000000000000,0.66500000000000000,0.7610,1.1840,0.6770,0.6650
744953,4/13/2024,0.76500000000000000,0.63900000000000000,0.67300000000000000,0.67300000000000000,0.7650,0.6390,0.6730,0.6730
744954,4/12/2024,0.7090000000000001,0.5549999999999999,0.6539999999999999,0.95800000000000000,0.7090,0.5550,0.6540,0.9580
744955,9/22/2024,0.68700000000000000,0.6059359986777775,0.6819999999999999,0.7054068090635484,0.6870,0.6059,0.6820,0.7054
744956,4/8/2024,0.5900000000000001,0.93300000000000000,0.62900000000000000,0.8280000000000001,0.5900,0.9330,0.6290,0.8280
744957,4/9/2024,0.5960000000000001,0.66000000000000000,0.64800000000000000,0.96200000000000000,0.5960,0.6600,0.6480,0.9620
